state,year,week,date2,deaths,date,month
Alabama,2015,35,09/05/2015,928,2015-09-05T04:00:00Z,9
Alabama,2015,36,09/12/2015,957,2015-09-12T04:00:00Z,9
Alabama,2015,37,09/19/2015,907,2015-09-19T04:00:00Z,9
Alabama,2015,38,09/26/2015,933,2015-09-26T04:00:00Z,9
Alabama,2015,39,10/03/2015,878,2015-10-03T04:00:00Z,10
Alabama,2015,40,10/10/2015,918,2015-10-10T04:00:00Z,10
Alabama,2015,41,10/17/2015,789,2015-10-17T04:00:00Z,10
Alabama,2015,42,10/24/2015,794,2015-10-24T04:00:00Z,10
Alabama,2015,43,10/31/2015,909,2015-10-31T04:00:00Z,10
Alabama,2015,44,11/07/2015,866,2015-11-07T05:00:00Z,11
Alabama,2015,45,11/14/2015,928,2015-11-14T05:00:00Z,11
Alabama,2015,46,11/21/2015,995,2015-11-21T05:00:00Z,11
Alabama,2015,47,11/28/2015,974,2015-11-28T05:00:00Z,11
Alabama,2015,48,12/05/2015,914,2015-12-05T05:00:00Z,12
Alabama,2015,49,12/12/2015,899,2015-12-12T05:00:00Z,12
Alabama,2015,50,12/19/2015,768,2015-12-19T05:00:00Z,12
Alabama,2015,51,12/26/2015,778,2015-12-26T05:00:00Z,12
Alabama,2015,52,01/02/2016,912,2016-01-02T05:00:00Z,1
Alabama,2016,1,01/09/2016,1008,2016-01-09T05:00:00Z,1
Alabama,2016,2,01/16/2016,1044,2016-01-16T05:00:00Z,1
Alabama,2016,3,01/23/2016,1029,2016-01-23T05:00:00Z,1
Alabama,2016,4,01/30/2016,1020,2016-01-30T05:00:00Z,1
Alabama,2016,5,02/06/2016,1103,2016-02-06T05:00:00Z,2
Alabama,2016,6,02/13/2016,1098,2016-02-13T05:00:00Z,2
Alabama,2016,7,02/20/2016,1114,2016-02-20T05:00:00Z,2
Alabama,2016,8,02/27/2016,962,2016-02-27T05:00:00Z,2
Alabama,2016,9,03/05/2016,1006,2016-03-05T05:00:00Z,3
Alabama,2016,10,03/12/2016,1035,2016-03-12T05:00:00Z,3
Alabama,2016,11,03/19/2016,1009,2016-03-19T04:00:00Z,3
Alabama,2016,12,03/26/2016,1001,2016-03-26T04:00:00Z,3
Alabama,2016,13,04/02/2016,959,2016-04-02T04:00:00Z,4
Alabama,2016,14,04/09/2016,1006,2016-04-09T04:00:00Z,4
Alabama,2016,15,04/16/2016,942,2016-04-16T04:00:00Z,4
Alabama,2016,16,04/23/2016,1011,2016-04-23T04:00:00Z,4
Alabama,2016,17,04/30/2016,966,2016-04-30T04:00:00Z,4
Alabama,2016,18,05/07/2016,963,2016-05-07T04:00:00Z,5
Alabama,2016,19,05/14/2016,945,2016-05-14T04:00:00Z,5
Alabama,2016,20,05/21/2016,918,2016-05-21T04:00:00Z,5
Alabama,2016,21,05/28/2016,941,2016-05-28T04:00:00Z,5
Alabama,2016,22,06/04/2016,954,2016-06-04T04:00:00Z,6
Alabama,2016,23,06/11/2016,967,2016-06-11T04:00:00Z,6
Alabama,2016,24,06/18/2016,877,2016-06-18T04:00:00Z,6
Alabama,2016,25,06/25/2016,979,2016-06-25T04:00:00Z,6
Alabama,2016,26,07/02/2016,903,2016-07-02T04:00:00Z,7
Alabama,2016,27,07/09/2016,903,2016-07-09T04:00:00Z,7
Alabama,2016,28,07/16/2016,965,2016-07-16T04:00:00Z,7
Alabama,2016,29,07/23/2016,927,2016-07-23T04:00:00Z,7
Alabama,2016,30,07/30/2016,927,2016-07-30T04:00:00Z,7
Alabama,2016,31,08/06/2016,918,2016-08-06T04:00:00Z,8
Alabama,2016,32,08/13/2016,921,2016-08-13T04:00:00Z,8
Alabama,2016,33,08/20/2016,979,2016-08-20T04:00:00Z,8
Alabama,2016,34,08/27/2016,942,2016-08-27T04:00:00Z,8
Alabama,2016,35,09/03/2016,918,2016-09-03T04:00:00Z,9
Alabama,2016,36,09/10/2016,912,2016-09-10T04:00:00Z,9
Alabama,2016,37,09/17/2016,947,2016-09-17T04:00:00Z,9
Alabama,2016,38,09/24/2016,986,2016-09-24T04:00:00Z,9
Alabama,2016,39,10/01/2016,939,2016-10-01T04:00:00Z,10
Alabama,2016,40,10/08/2016,958,2016-10-08T04:00:00Z,10
Alabama,2016,41,10/15/2016,973,2016-10-15T04:00:00Z,10
Alabama,2016,42,10/22/2016,907,2016-10-22T04:00:00Z,10
Alabama,2016,43,10/29/2016,964,2016-10-29T04:00:00Z,10
Alabama,2016,44,11/05/2016,952,2016-11-05T04:00:00Z,11
Alabama,2016,45,11/12/2016,1029,2016-11-12T05:00:00Z,11
Alabama,2016,46,11/19/2016,1004,2016-11-19T05:00:00Z,11
Alabama,2016,47,11/26/2016,1029,2016-11-26T05:00:00Z,11
Alabama,2016,48,12/03/2016,1033,2016-12-03T05:00:00Z,12
Alabama,2016,49,12/10/2016,1057,2016-12-10T05:00:00Z,12
Alabama,2016,50,12/17/2016,1049,2016-12-17T05:00:00Z,12
Alabama,2016,51,12/24/2016,1134,2016-12-24T05:00:00Z,12
Alabama,2016,52,12/31/2016,1104,2016-12-31T05:00:00Z,12
Alabama,2017,1,01/07/2017,1121,2017-01-07T05:00:00Z,1
Alabama,2017,2,01/14/2017,1130,2017-01-14T05:00:00Z,1
Alabama,2017,3,01/21/2017,1048,2017-01-21T05:00:00Z,1
Alabama,2017,4,01/28/2017,1026,2017-01-28T05:00:00Z,1
Alabama,2017,5,02/04/2017,1036,2017-02-04T05:00:00Z,2
Alabama,2017,6,02/11/2017,1058,2017-02-11T05:00:00Z,2
Alabama,2017,7,02/18/2017,1060,2017-02-18T05:00:00Z,2
Alabama,2017,8,02/25/2017,1099,2017-02-25T05:00:00Z,2
Alabama,2017,9,03/04/2017,1081,2017-03-04T05:00:00Z,3
Alabama,2017,10,03/11/2017,1011,2017-03-11T05:00:00Z,3
Alabama,2017,11,03/18/2017,1067,2017-03-18T04:00:00Z,3
Alabama,2017,12,03/25/2017,1068,2017-03-25T04:00:00Z,3
Alabama,2017,13,04/01/2017,991,2017-04-01T04:00:00Z,4
Alabama,2017,14,04/08/2017,1037,2017-04-08T04:00:00Z,4
Alabama,2017,15,04/15/2017,1017,2017-04-15T04:00:00Z,4
Alabama,2017,16,04/22/2017,966,2017-04-22T04:00:00Z,4
Alabama,2017,17,04/29/2017,996,2017-04-29T04:00:00Z,4
Alabama,2017,18,05/06/2017,907,2017-05-06T04:00:00Z,5
Alabama,2017,19,05/13/2017,1064,2017-05-13T04:00:00Z,5
Alabama,2017,20,05/20/2017,998,2017-05-20T04:00:00Z,5
Alabama,2017,21,05/27/2017,988,2017-05-27T04:00:00Z,5
Alabama,2017,22,06/03/2017,925,2017-06-03T04:00:00Z,6
Alabama,2017,23,06/10/2017,984,2017-06-10T04:00:00Z,6
Alabama,2017,24,06/17/2017,918,2017-06-17T04:00:00Z,6
Alabama,2017,25,06/24/2017,961,2017-06-24T04:00:00Z,6
Alabama,2017,26,07/01/2017,925,2017-07-01T04:00:00Z,7
Alabama,2017,27,07/08/2017,954,2017-07-08T04:00:00Z,7
Alabama,2017,28,07/15/2017,968,2017-07-15T04:00:00Z,7
Alabama,2017,29,07/22/2017,964,2017-07-22T04:00:00Z,7
Alabama,2017,30,07/29/2017,888,2017-07-29T04:00:00Z,7
Alabama,2017,31,08/05/2017,949,2017-08-05T04:00:00Z,8
Alabama,2017,32,08/12/2017,936,2017-08-12T04:00:00Z,8
Alabama,2017,33,08/19/2017,933,2017-08-19T04:00:00Z,8
Alabama,2017,34,08/26/2017,917,2017-08-26T04:00:00Z,8
Alabama,2017,35,09/02/2017,953,2017-09-02T04:00:00Z,9
Alabama,2017,36,09/09/2017,960,2017-09-09T04:00:00Z,9
Alabama,2017,37,09/16/2017,968,2017-09-16T04:00:00Z,9
Alabama,2017,38,09/23/2017,995,2017-09-23T04:00:00Z,9
Alabama,2017,39,09/30/2017,1019,2017-09-30T04:00:00Z,9
Alabama,2017,40,10/07/2017,948,2017-10-07T04:00:00Z,10
Alabama,2017,41,10/14/2017,986,2017-10-14T04:00:00Z,10
Alabama,2017,42,10/21/2017,966,2017-10-21T04:00:00Z,10
Alabama,2017,43,10/28/2017,941,2017-10-28T04:00:00Z,10
Alabama,2017,44,11/04/2017,994,2017-11-04T04:00:00Z,11
Alabama,2017,45,11/11/2017,994,2017-11-11T05:00:00Z,11
Alabama,2017,46,11/18/2017,982,2017-11-18T05:00:00Z,11
Alabama,2017,47,11/25/2017,1004,2017-11-25T05:00:00Z,11
Alabama,2017,48,12/02/2017,1067,2017-12-02T05:00:00Z,12
Alabama,2017,49,12/09/2017,1074,2017-12-09T05:00:00Z,12
Alabama,2017,50,12/16/2017,1120,2017-12-16T05:00:00Z,12
Alabama,2017,51,12/23/2017,1098,2017-12-23T05:00:00Z,12
Alabama,2017,52,12/30/2017,1080,2017-12-30T05:00:00Z,12
Alabama,2018,1,01/06/2018,1248,2018-01-06T05:00:00Z,1
Alabama,2018,2,01/13/2018,1301,2018-01-13T05:00:00Z,1
Alabama,2018,3,01/20/2018,1275,2018-01-20T05:00:00Z,1
Alabama,2018,4,01/27/2018,1286,2018-01-27T05:00:00Z,1
Alabama,2018,5,02/03/2018,1147,2018-02-03T05:00:00Z,2
Alabama,2018,6,02/10/2018,1181,2018-02-10T05:00:00Z,2
Alabama,2018,7,02/17/2018,1096,2018-02-17T05:00:00Z,2
Alabama,2018,8,02/24/2018,1099,2018-02-24T05:00:00Z,2
Alabama,2018,9,03/03/2018,985,2018-03-03T05:00:00Z,3
Alabama,2018,10,03/10/2018,1059,2018-03-10T05:00:00Z,3
Alabama,2018,11,03/17/2018,1086,2018-03-17T04:00:00Z,3
Alabama,2018,12,03/24/2018,993,2018-03-24T04:00:00Z,3
